exercise,note,start_s,end_s,dur_s
1,C#3,33.766,34.207,0.441
1,G#2,34.37,34.579,0.209
1,A2,34.579,34.695,0.116
1,A#2,36.483,37.458,0.975
1,B2,37.458,37.899,0.441
1,F3,37.946,38.642,0.697
1,F#3,38.642,39.153,0.511
1,F3,39.153,39.919,0.766
1,D3,39.919,40.523,0.604
1,A#2,40.523,41.87,1.347
1,B2,41.87,44.122,2.252
1,B2,44.47,45.423,0.952
1,C3,45.423,45.562,0.139
1,B2,45.562,45.701,0.139
1,C3,45.701,45.864,0.163
1,F#3,45.887,46.491,0.604
1,G3,46.491,47.164,0.673
1,F#3,47.164,47.93,0.766
1,D#3,47.93,48.511,0.58
1,B2,48.534,49.556,1.022
1,B2,49.625,49.858,0.232
1,C3,49.858,50.972,1.115
1,C3,52.505,53.317,0.813
1,C#3,53.317,53.828,0.511
1,G3,53.828,55.941,2.113
1,E3,55.964,56.591,0.627
1,C3,56.591,57.752,1.161
1,C#3,57.845,59.053,1.207
1,C#3,60.492,61.653,1.161
1,G#3,61.816,62.977,1.161
1,G#3,63.163,63.975,0.813
1,F3,63.975,64.509,0.534
1,C#3,64.579,65.577,0.998
1,D3,65.856,67.017,1.161
1,D3,68.48,69.85,1.37
1,A3,69.896,70.755,0.859
1,A3,71.197,71.824,0.627
1,F#3,71.87,72.497,0.627
1,F#2,72.497,72.59,0.093
1,D3,72.59,73.821,1.231
1,D#3,73.821,75.121,1.3
1,D#3,76.491,77.791,1.3
1,A#3,77.838,79.068,1.231
1,A#3,79.138,79.881,0.743
1,C2,79.881,80.02,0.139
1,G3,80.02,80.508,0.488
1,D#3,80.554,81.576,1.022
1,E3,81.831,83.503,1.672
1,E3,84.478,85.802,1.324
1,E2,85.802,85.895,0.093
1,B3,85.895,87.938,2.043
1,C#2,87.938,88.054,0.116
1,G#3,88.054,88.542,0.488
1,E3,88.542,89.819,1.277
1,F3,89.819,91.491,1.672
1,F3,92.489,93.813,1.324
1,F2,93.813,93.952,0.139
1,C4,93.952,95.113,1.161
1,C4,95.16,95.879,0.72
1,F2,95.879,96.042,0.163
1,A3,96.042,96.135,0.093
1,D2,96.135,96.321,0.186
1,A3,96.321,96.483,0.163
1,F2,96.483,96.599,0.116
1,F3,96.599,97.83,1.231
1,F#3,97.83,99.734,1.904
1,F#3,100.477,101.801,1.324
1,F#2,101.801,101.893,0.093
1,C#4,101.893,102.799,0.906
1,C#4,103.147,103.844,0.697
1,A#3,103.89,104.541,0.65
1,F#2,104.541,104.68,0.139
1,F#3,104.68,105.841,1.161
1,G3,105.841,107.118,1.277
1,G3,108.488,109.811,1.324
1,G2,109.811,109.951,0.139
1,D4,109.951,110.647,0.697
1,D4,111.135,111.785,0.65
1,B3,111.832,112.528,0.697
1,G2,112.528,112.691,0.163
1,G3,112.691,113.712,1.022
1,G#3,113.829,114.827,0.998
1,G#3,116.499,117.59,1.091
1,D#4,117.822,119.076,1.254
1,D#4,119.146,119.889,0.743
1,C4,119.935,120.516,0.58
1,G#3,120.562,121.329,0.766
1,A3,121.886,122.629,0.743
1,A3,124.486,125.764,1.277
1,A2,125.856,126.019,0.163
1,E4,126.019,126.53,0.511
1,E4,127.157,127.784,0.627
1,C#4,127.807,128.504,0.697
1,C#3,128.504,128.596,0.093
1,A3,128.596,129.456,0.859
1,A#3,129.804,131.545,1.741
1,A#3,132.497,133.798,1.3
1,A#2,133.798,133.983,0.186
1,F4,133.983,134.657,0.673
1,F4,135.168,135.841,0.673
1,G2,135.841,135.98,0.139
1,D4,135.98,136.468,0.488
1,A#3,136.491,137.815,1.324
1,B3,137.815,139.487,1.672
1,B3,140.462,141.809,1.347
1,B2,141.809,141.925,0.116
1,F#4,141.925,143.086,1.161
1,F#4,143.155,143.829,0.673
1,D#4,143.875,144.479,0.604
1,E2,144.525,144.641,0.116
1,B3,144.641,145.826,1.184
1,C4,145.826,147.288,1.463
1,C4,148.473,149.773,1.3
1,G4,149.843,150.98,1.138
1,G4,151.143,151.84,0.697
1,C2,151.84,152.002,0.163
1,E4,152.002,152.35,0.348
1,C4,152.49,153.813,1.324
1,C#4,153.813,154.881,1.068
1,C#4,156.484,157.505,1.022
1,G#4,157.877,158.504,0.627
1,G#4,159.131,159.804,0.673
1,C#2,159.827,159.967,0.139
1,F4,159.967,160.477,0.511
1,C#4,160.593,161.406,0.813
1,D4,161.824,162.567,0.743
1,D4,164.494,165.237,0.743
1,A4,165.841,166.84,0.998
1,A4,167.142,167.815,0.673
1,F#4,167.885,168.488,0.604
1,D2,168.488,168.674,0.186
1,D4,168.674,169.231,0.557
1,D#4,169.835,171.228,1.393
1,D#4,172.459,173.829,1.37
1,D#3,173.829,173.922,0.093
1,A#4,173.922,174.897,0.975
1,A#4,175.129,175.803,0.673
1,G4,175.826,176.476,0.65
1,D#4,176.546,177.799,1.254
1,E4,177.799,178.217,0.418
1,E4,180.493,181.073,0.58
1,B4,181.863,182.188,0.325
1,B4,183.163,183.674,0.511
1,G#4,183.883,184.464,0.58
1,E2,184.487,184.603,0.116
1,E4,184.603,184.998,0.395
1,F4,185.834,186.786,0.952
1,F4,188.504,189.409,0.906
1,C5,189.944,190.361,0.418
1,C5,191.174,191.801,0.627
1,A4,191.848,192.474,0.627
1,F2,192.474,192.637,0.163
1,F4,192.637,193.357,0.72
1,E4,193.844,194.355,0.511
1,E4,196.468,197.095,0.627
1,B4,197.862,198.21,0.348
1,B4,199.162,199.673,0.511
1,G#4,199.858,200.485,0.627
1,E2,200.485,200.625,0.139
1,E4,200.625,200.996,0.372
1,D#4,201.832,203.202,1.37
1,D#4,204.433,205.78,1.347
1,D#3,205.803,205.896,0.093
1,A#4,205.919,206.848,0.929
1,A#4,207.15,207.8,0.65
1,G4,207.846,208.473,0.627
1,D#2,208.473,208.566,0.093
1,D#4,208.566,209.75,1.184
1,D4,209.797,210.516,0.72
1,D4,212.49,213.163,0.673
1,A4,213.814,214.789,0.975
1,A4,215.137,215.787,0.65
1,F#4,215.834,216.484,0.65
1,D2,216.484,216.646,0.163
1,D4,216.646,217.227,0.58
1,C#4,217.831,218.852,1.022
1,C#4,220.478,221.546,1.068
1,G#4,221.848,222.405,0.557
1,G#4,223.148,223.798,0.65
1,C#2,223.821,223.914,0.093
1,F4,223.914,224.472,0.557
1,C#4,224.564,225.493,0.929
1,C4,225.795,227.304,1.509
1,C4,228.465,229.766,1.3
1,G4,229.812,230.996,1.184
1,G4,231.089,231.832,0.743
1,C2,231.832,232.018,0.186
1,E4,232.018,232.227,0.209
1,C4,232.459,233.69,1.231
1,B3,233.806,235.455,1.649
1,B3,236.453,237.8,1.347
1,B2,237.8,237.893,0.093
1,F#4,237.893,239.054,1.161
1,F#4,239.123,239.82,0.697
1,D#4,239.866,240.47,0.604
1,B3,240.586,241.794,1.207
1,A#3,241.794,243.489,1.695
1,A#3,244.464,245.811,1.347
1,A#2,245.811,245.996,0.186
1,F4,245.996,246.693,0.697
1,F4,247.134,247.831,0.697
1,D4,247.924,248.435,0.511
1,A#3,248.481,249.828,1.347
1,A3,249.828,250.757,0.929
1,A3,252.498,253.543,1.045
1,E4,253.891,254.495,0.604
1,E4,255.145,255.749,0.604
1,C#4,255.795,256.492,0.697
1,A3,256.562,257.444,0.882
1,A4,257.444,257.537,0.093
1,G#3,257.815,258.953,1.138
1,G#3,260.486,261.67,1.184
1,D#4,261.809,263.086,1.277
1,D#4,263.11,263.876,0.766
1,C4,263.922,264.48,0.557
1,G#3,264.503,265.571,1.068
1,G3,265.803,267.173,1.37
1,G3,268.45,269.797,1.347
1,G2,269.797,269.983,0.186
1,D4,269.983,270.447,0.464
1,D4,271.12,271.747,0.627
1,B3,271.794,272.467,0.673
1,G2,272.467,272.653,0.186
1,G3,272.653,273.814,1.161
1,F#3,273.814,275.347,1.533
1,F#3,276.461,277.785,1.324
1,F#2,277.785,277.877,0.093
1,C#4,277.877,278.899,1.022
1,C#4,279.131,279.782,0.65
1,A#3,279.805,280.501,0.697
1,F#2,280.501,280.641,0.139
1,F#3,280.641,281.755,1.115
1,F3,281.802,283.729,1.927
1,F3,284.449,285.772,1.324
1,F2,285.772,285.888,0.116
1,C4,285.888,287.816,1.927
1,F2,287.816,287.955,0.139
1,A3,287.955,288.071,0.116
1,D2,288.071,288.164,0.093
1,A3,288.164,288.443,0.279
1,F2,288.443,288.582,0.139
1,F3,288.582,289.813,1.231
1,E3,289.813,291.531,1.718
1,E3,292.436,293.783,1.347
1,E2,293.783,293.876,0.093
1,B3,293.876,295.873,1.997
1,C#2,295.873,295.989,0.116
1,G#3,295.989,296.477,0.488
1,E3,296.477,297.8,1.324
1,D#3,297.8,298.961,1.161
1,D#3,300.47,301.771,1.3
1,A#3,301.817,303.071,1.254
1,A#3,303.118,303.837,0.72
1,C2,303.837,303.977,0.139
1,G3,303.977,304.441,0.464
1,D#3,304.511,305.556,1.045
1,D3,305.765,307.158,1.393
1,D3,308.458,309.828,1.37
1,A3,309.875,310.687,0.813
1,A3,311.152,311.802,0.65
1,F#3,311.825,312.452,0.627
1,F#2,312.452,312.545,0.093
1,D3,312.545,313.822,1.277
1,C#3,313.822,314.983,1.161
1,C#3,316.469,317.607,1.138
1,G#3,317.793,318.954,1.161
1,G#3,319.116,319.882,0.766
1,F3,319.975,320.463,0.488
1,C#3,320.533,321.554,1.022
1,C3,321.786,322.994,1.207
1,C3,324.457,325.711,1.254
1,G3,325.827,327.057,1.231
